RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS,COURSE
1,0,26851,Marc Leishman,67.134,261,7.536,4,Conway Farms Golf Club
2,0,32102,Rickie Fowler,68.384,266,7.536,4,Conway Farms Golf Club
2,0,22405,Justin Rose,68.384,266,7.536,4,Conway Farms Golf Club
4,0,28089,Jason Day,68.884,268,7.536,4,Conway Farms Golf Club
5,0,23108,Matt Kuchar,69.134,269,7.536,4,Conway Farms Golf Club
5,0,46970,Jon Rahm,69.134,269,7.536,4,Conway Farms Golf Club
7,0,29725,Tony Finau,69.634,271,7.536,4,Conway Farms Golf Club
7,0,34046,Jordan Spieth,69.634,271,7.536,4,Conway Farms Golf Club
9,0,35450,Patrick Cantlay,69.884,272,7.536,4,Conway Farms Golf Club
9,0,31420,Anirban Lahiri,69.884,272,7.536,4,Conway Farms Golf Club
9,0,29221,Webb Simpson,69.884,272,7.536,4,Conway Farms Golf Club
12,0,32366,Kevin Chappell,70.134,273,7.536,4,Conway Farms Golf Club
12,0,21209,Sergio Garcia,70.134,273,7.536,4,Conway Farms Golf Club
12,0,25900,Lucas Glover,70.134,273,7.536,4,Conway Farms Golf Club
12,0,36689,Brooks Koepka,70.134,273,7.536,4,Conway Farms Golf Club
12,0,25198,Francesco Molinari,70.134,273,7.536,4,Conway Farms Golf Club
12,0,24361,Pat Perez,70.134,273,7.536,4,Conway Farms Golf Club
12,0,26476,Chez Reavie,70.134,273,7.536,4,Conway Farms Golf Club
12,0,35891,Cameron Smith,70.134,273,7.536,4,Conway Farms Golf Club
20,0,29479,Scott Brown,70.384,274,7.536,4,Conway Farms Golf Club
20,0,24024,Zach Johnson,70.384,274,7.536,4,Conway Farms Golf Club
20,0,27129,Luke List,70.384,274,7.536,4,Conway Farms Golf Club
20,0,1810,Phil Mickelson,70.384,274,7.536,4,Conway Farms Golf Club
20,0,26596,Ryan Moore,70.384,274,7.536,4,Conway Farms Golf Club
20,0,24140,Sean O'Hair,70.384,274,7.536,4,Conway Farms Golf Club
20,0,48081,Xander Schauffele,70.384,274,7.536,4,Conway Farms Golf Club
27,0,33141,Keegan Bradley,70.634,275,7.536,4,Conway Farms Golf Club
27,0,34021,Bud Cauley,70.634,275,7.536,4,Conway Farms Golf Club
27,0,20229,Stewart Cink,70.634,275,7.536,4,Conway Farms Golf Club
27,0,12716,Charley Hoffman,70.634,275,7.536,4,Conway Farms Golf Club
27,0,26331,Charl Schwartzel,70.634,275,7.536,4,Conway Farms Golf Club
27,0,31323,Gary Woodland,70.634,275,7.536,4,Conway Farms Golf Club
33,0,40026,Daniel Berger,70.884,276,7.536,4,Conway Farms Golf Club
33,0,26499,Rafa Cabrera Bello,70.884,276,7.536,4,Conway Farms Golf Club
33,0,25364,Paul Casey,70.884,276,7.536,4,Conway Farms Golf Club
33,0,47959,Bryson DeChambeau,70.884,276,7.536,4,Conway Farms Golf Club
33,0,32448,James Hahn,70.884,276,7.536,4,Conway Farms Golf Club
33,0,30925,Dustin Johnson,70.884,276,7.536,4,Conway Farms Golf Club
33,0,29461,Jamie Lovemark,70.884,276,7.536,4,Conway Farms Golf Club
40,0,33399,Adam Hadwin,71.134,277,7.536,4,Conway Farms Golf Club
40,0,27644,Brian Harman,71.134,277,7.536,4,Conway Farms Golf Club
40,0,24138,Ian Poulter,71.134,277,7.536,4,Conway Farms Golf Club
40,0,34264,Hudson Swafford,71.134,277,7.536,4,Conway Farms Golf Club
44,0,35506,Mackenzie Hughes,71.384,278,7.536,4,Conway Farms Golf Club
44,0,27936,Martin Laird,71.384,278,7.536,4,Conway Farms Golf Club
44,0,29518,Brendan Steele,71.384,278,7.536,4,Conway Farms Golf Club
47,0,34098,Russell Henley,71.634,279,7.536,4,Conway Farms Golf Club
47,0,32839,Hideki Matsuyama,71.634,279,7.536,4,Conway Farms Golf Club
47,0,30110,Kyle Stanley,71.634,279,7.536,4,Conway Farms Golf Club
47,0,33448,Justin Thomas,71.634,279,7.536,4,Conway Farms Golf Club
51,0,34213,Grayson Murray,71.884,280,7.536,4,Conway Farms Golf Club
51,0,21528,Henrik Stenson,71.884,280,7.536,4,Conway Farms Golf Club
53,0,24924,Bill Haas,72.134,281,7.536,4,Conway Farms Golf Club
53,0,27974,Sung Kang,72.134,281,7.536,4,Conway Farms Golf Club
53,0,25396,Kevin Na,72.134,281,7.536,4,Conway Farms Golf Club
53,0,34431,Robert Streb,72.134,281,7.536,4,Conway Farms Golf Club
53,0,32333,Kevin Tway,72.134,281,7.536,4,Conway Farms Golf Club
58,0,25686,Jason Dufner,72.384,282,7.536,4,Conway Farms Golf Club
58,0,31646,Emiliano Grillo,72.384,282,7.536,4,Conway Farms Golf Club
58,0,37455,Si Woo Kim,72.384,282,7.536,4,Conway Farms Golf Club
58,0,28237,Rory McIlroy,72.384,282,7.536,4,Conway Farms Golf Club
62,0,29420,Billy Horschel,72.634,283,7.536,4,Conway Farms Golf Club
63,0,26329,Louis Oosthuizen,72.884,284,7.536,4,Conway Farms Golf Club
63,0,27064,Jhonattan Vegas,72.884,284,7.536,4,Conway Farms Golf Club
65,0,34360,Patrick Reed,73.134,285,7.536,4,Conway Farms Golf Club
66,0,46501,Ollie Schniederjans,73.384,286,7.536,4,Conway Farms Golf Club
67,0,21961,Charles Howell III,73.634,287,7.536,4,Conway Farms Golf Club
67,0,29478,Kevin Kisner,73.634,287,7.536,4,Conway Farms Golf Club
69,0,48084,Wesley Bryan,73.884,288,7.536,4,Conway Farms Golf Club
