COURSE,par,yardage,yardage_4_5,yardage_3,adj_score_to_par,adj_par_3_score,adj_par_4_score,adj_par_5_score,adj_driving_distance,adj_sd_distance,adj_driving_accuracy,putt_sg,arg_sg,app_sg,ott_sg,fw_width,fw_diff,rgh_diff,non_rgh_diff,miss_fw_pen_frac,adj_gir,less_150_sg,greater_150_sg,arg_fairway_sg,arg_rough_sg,arg_bunker_sg,less_5_ft_sg,greater_5_less_15_sg,greater_15_sg,adj_penalties,adj_ob
Arnold Palmer's Bay Hill Club &amp; Lodge,72,7352,465,209,1.05,0.17,0.15,-0.29,280.9,18.5,0.6114,0,0.002,-0.046,-0.032,34.6,undefined,undefined,undefined,0.0574,0.575,-0.047,-0.045,0.006,-0.061,0.025,0.001,0.004,-0.006,undefined,undefined
Aronimink GC,70,7036,446,199,-1.14,0.04,-0.03,-0.46,286.3,16.5,0.6825,0.01,-0.014,0.042,0.035,39.7,undefined,undefined,undefined,0.0044,0.7424,0.017,0.063,-0.029,-0.027,0.027,0.004,0.026,0.008,undefined,undefined
Augusta National Golf Club,72,7451,480,182,1.97,0.17,0.24,-0.27,291.6,21.3,0.7093,-0.022,-0.079,-0.046,0.01,50.7,undefined,undefined,undefined,0.0262,0.5784,-0.06,-0.041,-0.104,-0.011,-0.031,-0.002,-0.03,-0.051,undefined,undefined
Austin Country Club,71,6900,449,179,-2.09,0,-0.07,-0.52,301.4,21.4,0.5859,0.006,0.018,0.023,0.045,32,undefined,undefined,undefined,0.0518,0.7089,0.01,0.034,0.016,0.027,0.013,0.002,0.021,0.001,undefined,undefined
Baltusrol GC,70,7282,461,207,0.88,0.06,0.09,-0.25,280.6,18.2,0.5881,-0.005,0.018,0.048,-0.022,30.2,undefined,undefined,undefined,0.0336,0.6803,0.009,0.064,0.018,-0.027,0.05,-0.002,-0.021,0.002,undefined,undefined
Bellerive CC,70,7248,462,195,0.42,0.08,0.05,-0.27,284.9,18.6,0.6484,0.004,0.004,0.033,0.003,34.6,undefined,undefined,undefined,0.0527,0.65,0.032,0.034,0.015,-0.039,0.019,-0.002,0.013,0.004,undefined,undefined
Bethpage Black,71,7355,469,196,2.11,0.16,0.18,-0.23,287.7,17.2,0.5699,-0.01,-0.001,-0.027,-0.008,30.6,undefined,undefined,undefined,0.0059,0.5818,-0.023,-0.028,-0.009,0.002,-0.005,-0.003,-0.023,-0.012,undefined,undefined
Caves Valley Golf Club,72,7424,471,209,-1.9,0.04,-0.05,-0.39,290.2,17,0.6509,0.011,0.008,0.059,0.042,33.1,undefined,undefined,undefined,0.0094,0.696,0.024,0.072,0.016,-0.017,0.03,0.003,0.014,0.022,undefined,undefined
Club de Golf Chapultepec,71,7287,464,197,0.43,0.18,0.05,-0.27,299.7,27.5,0.5711,-0.024,0.006,0.006,0.061,31,undefined,undefined,undefined,0.0152,0.6326,-0.052,0.036,0.006,0.034,-0.078,-0.013,-0.036,-0.032,undefined,undefined
Colonial Country Club,70,6995,445,194,0.6,0.09,0.06,-0.23,280.1,19.3,0.5523,0.004,0.022,-0.01,-0.043,27.6,undefined,undefined,undefined,0.0179,0.6198,-0.02,-0.003,-0.001,0.025,0.049,0.002,0.004,0.007,undefined,undefined
Congaree Golf Club,71,7364,473,188,0.08,0.1,0.05,-0.29,301.5,20.9,0.7075,-0.005,-0.039,-0.003,0.071,51.4,undefined,undefined,undefined,0.0346,0.6448,-0.02,0.006,-0.045,-0.029,-0.051,0,0.001,-0.019,undefined,undefined
Congressional CC (Blue),71,7416,474,195,0.03,0,0.05,-0.19,288.1,17.1,0.5787,-0.008,0.026,0.041,0.015,26.7,undefined,undefined,undefined,0.0173,0.6881,0.053,0.036,0.03,0.029,0.017,0.001,-0.027,-0.008,undefined,undefined
Conway Farms GC,71,6987,445,191,-0.81,0.11,-0.02,-0.34,281,19.9,0.5999,0.005,0.005,0.011,0.012,30.4,undefined,undefined,undefined,0.0321,0.6321,0.013,0.01,0.013,0.013,-0.047,0.004,0.008,0.005,undefined,undefined
Crooked Stick GC,72,7474,478,195,-0.32,0.13,0.07,-0.38,284.2,16.1,0.6167,0.007,0.002,0.022,-0.006,35.2,undefined,undefined,undefined,0.0584,0.6416,0.014,0.025,0.008,-0.002,-0.002,0.006,0.012,0.004,undefined,undefined
