RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS,COURSE
1,16,25396,Kevin Na,67.693,266,4.772,4,East Lake
1,8,46970,Jon Rahm,67.693,266,4.772,4,East Lake
3,46,48081,Xander Schauffele,68.193,268,4.772,4,East Lake
4,-3,35450,Patrick Cantlay,68.443,269,4.772,4,East Lake
4,13,46717,Viktor Hovland,68.443,269,4.772,4,East Lake
4,18,33448,Justin Thomas,68.443,269,4.772,4,East Lake
7,45,29420,Billy Horschel,68.693,270,4.772,4,East Lake
8,18,40026,Daniel Berger,69.193,272,4.772,4,East Lake
8,-2,30925,Dustin Johnson,69.193,272,4.772,4,East Lake
10,-4,21209,Sergio Garcia,69.443,273,4.772,4,East Lake
11,-2,45526,Abraham Ancer,69.693,274,4.772,4,East Lake
11,-10,47959,Bryson DeChambeau,69.693,274,4.772,4,East Lake
11,4,30944,Jason Kokrak,69.693,274,4.772,4,East Lake
14,-10,28237,Rory McIlroy,69.943,275,4.772,4,East Lake
15,23,26329,Louis Oosthuizen,70.193,276,4.772,4,East Lake
16,-11,40006,Erik van Rooyen,70.443,277,4.772,4,East Lake
17,-9,47504,Sam Burns,70.693,278,4.772,4,East Lake
17,5,39997,Corey Conners,70.693,278,4.772,4,East Lake
17,9,34099,Harris English,70.693,278,4.772,4,East Lake
17,0,34360,Patrick Reed,70.693,278,4.772,4,East Lake
17,5,46046,Scottie Scheffler,70.693,278,4.772,4,East Lake
17,17,35891,Cameron Smith,70.693,278,4.772,4,East Lake
23,-20,39971,Sungjae Im,70.943,279,4.772,4,East Lake
24,-9,29725,Tony Finau,71.193,280,4.772,4,East Lake
24,10,34046,Jordan Spieth,71.193,280,4.772,4,East Lake
26,12,20229,Stewart Cink,71.443,281,4.772,4,East Lake
26,20,32839,Hideki Matsuyama,71.443,281,4.772,4,East Lake
28,35,50525,Collin Morikawa,71.943,283,4.772,4,East Lake
29,0,45486,Joaquin Niemann,72.443,285,4.772,4,East Lake
