RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,0,46717,Viktor Hovland,69.64%,39,56
2,14,31646,Emiliano Grillo,67.86%,38,56
3,21,40098,Matt Fitzpatrick,66.07%,37,56
4,-1,50525,Collin Morikawa,64.29%,36,56
5,19,32102,Rickie Fowler,62.50%,35,56
5,-3,34098,Russell Henley,62.50%,35,56
7,-4,55182,Tom Kim,60.71%,34,56
8,-3,30911,Tommy Fleetwood,58.93%,33,56
9,15,35450,Patrick Cantlay,57.14%,32,56
9,7,49960,Sepp Straka,57.14%,32,56
11,3,51766,Wyndham Clark,55.36%,31,56
11,5,37455,Si Woo Kim,55.36%,31,56
11,-3,48081,Xander Schauffele,55.36%,31,56
11,27,25493,Nick Taylor,55.36%,31,56
15,1,47504,Sam Burns,53.57%,30,56
15,-5,28089,Jason Day,53.57%,30,56
15,28,27644,Brian Harman,53.57%,30,56
15,17,34363,Tyrrell Hatton,53.57%,30,56
15,-7,39971,Sungjae Im,53.57%,30,56
15,31,46970,Jon Rahm,53.57%,30,56
15,9,34046,Jordan Spieth,53.57%,30,56
22,-8,29725,Tony Finau,51.79%,29,56
22,-16,46046,Scottie Scheffler,51.79%,29,56
24,-14,39997,Corey Conners,50.00%,28,56
24,-18,25900,Lucas Glover,50.00%,28,56
24,24,28237,Rory McIlroy,50.00%,28,56
27,-11,39977,Max Homa,46.43%,26,56
27,-11,47347,Adam Schenk,46.43%,26,56
29,9,33141,Keegan Bradley,44.64%,25,56
30,16,49947,Taylor Moore,41.07%,23,56
