RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,0,28237,Rory McIlroy,335.3,2682,8
2,37,47504,Sam Burns,329.0,2632,8
3,16,46046,Scottie Scheffler,327.4,2619,8
4,-1,46970,Jon Rahm,325.1,2601,8
5,10,47347,Adam Schenk,325.0,2600,8
6,20,49947,Taylor Moore,322.5,2580,8
7,2,39977,Max Homa,321.3,2570,8
8,19,34363,Tyrrell Hatton,319.1,2553,8
9,-4,35450,Patrick Cantlay,318.3,2546,8
10,18,49960,Sepp Straka,317.4,2539,8
11,3,48081,Xander Schauffele,316.9,2535,8
12,-2,33141,Keegan Bradley,316.5,2532,8
13,4,28089,Jason Day,316.4,2531,8
14,2,32102,Rickie Fowler,315.9,2527,8
15,-4,39997,Corey Conners,314.8,2518,8
16,31,29725,Tony Finau,314.6,2517,8
17,25,30911,Tommy Fleetwood,314.0,2512,8
18,-11,51766,Wyndham Clark,313.4,2507,8
19,14,50525,Collin Morikawa,313.3,2506,8
20,-8,46717,Viktor Hovland,313.1,2505,8
21,1,34046,Jordan Spieth,312.3,2498,8
22,-5,40098,Matt Fitzpatrick,308.9,2471,8
23,-1,31646,Emiliano Grillo,307.9,2463,8
24,5,37455,Si Woo Kim,303.8,2430,8
25,16,55182,Tom Kim,301.5,2412,8
26,10,27644,Brian Harman,301.1,2409,8
27,13,34098,Russell Henley,301.0,2408,8
28,-7,39971,Sungjae Im,295.9,2367,8
29,14,25900,Lucas Glover,293.6,2349,8
30,5,25493,Nick Taylor,292.8,2342,8
