RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,GIR RANK
1,5,34098,Russell Henley,"28' 5""",2015.917,71,T8
2,2,50525,Collin Morikawa,"28' 8""",2062.750,72,3
3,35,46717,Viktor Hovland,"28' 9""",2072.500,72,T1
4,3,35450,Patrick Cantlay,"28' 10""",2074.417,72,7
5,27,48081,Xander Schauffele,"29' 0""",2090.667,72,4
5,28,49960,Sepp Straka,"29' 0""",2086.333,72,T8
7,19,29725,Tony Finau,"29' 2""",2073.750,71,T8
8,0,47347,Adam Schenk,"30' 10""",2219.083,72,T1
9,-8,46046,Scottie Scheffler,"31' 3""",2186.750,70,T5
10,2,32102,Rickie Fowler,"32' 5""",2334.917,72,T22
11,13,33141,Keegan Bradley,"32' 6""",2342.667,72,T22
12,16,28237,Rory McIlroy,"33' 3""",2360.000,71,T16
13,12,46970,Jon Rahm,"34' 1""",2452.417,72,T8
14,20,27644,Brian Harman,"34' 7""",2454.583,71,T25
15,6,39997,Corey Conners,"34' 10""",2473.917,71,T14
15,-3,34363,Tyrrell Hatton,"34' 10""",2472.333,71,T16
17,19,37455,Si Woo Kim,"34' 11""",2515.167,72,T25
18,1,51766,Wyndham Clark,"35' 1""",2489.583,71,T5
19,26,47504,Sam Burns,"35' 3""",2540.167,72,T8
20,-18,25900,Lucas Glover,"35' 4""",2541.333,72,T16
21,6,30911,Tommy Fleetwood,"35' 5""",2551.583,72,T14
22,12,31646,Emiliano Grillo,"35' 7""",2528.583,71,28
23,-5,55182,Tom Kim,"35' 10""",2541.500,71,21
23,17,34046,Jordan Spieth,"35' 10""",2577.000,72,T29
25,-10,39971,Sungjae Im,"37' 9""",2718.667,72,T16
26,4,40098,Matt Fitzpatrick,"38' 8""",2785.250,72,24
27,11,25493,Nick Taylor,"38' 11""",2763.250,71,27
28,2,39977,Max Homa,"39' 4""",2833.667,72,T16
29,17,49947,Taylor Moore,"39' 6""",2845.500,72,T29
30,19,28089,Jason Day,"40' 0""",2878.000,72,T8
