RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL HOLES
1,5,39971,Sungjae Im,4.00,32,8
1,25,49960,Sepp Straka,4.00,32,8
3,0,40098,Matt Fitzpatrick,4.13,33,8
3,14,25900,Lucas Glover,4.13,33,8
3,14,37455,Si Woo Kim,4.13,33,8
3,1,48081,Xander Schauffele,4.13,33,8
7,-1,33141,Keegan Bradley,4.25,34,8
7,-6,51766,Wyndham Clark,4.25,34,8
7,25,39997,Corey Conners,4.25,34,8
7,38,47347,Adam Schenk,4.25,34,8
11,-5,47504,Sam Burns,4.38,35,8
11,-5,35450,Patrick Cantlay,4.38,35,8
11,15,28089,Jason Day,4.38,35,8
11,27,29725,Tony Finau,4.38,35,8
11,-5,32102,Rickie Fowler,4.38,35,8
11,21,34363,Tyrrell Hatton,4.38,35,8
11,6,55182,Tom Kim,4.38,35,8
11,34,49947,Taylor Moore,4.38,35,8
11,6,50525,Collin Morikawa,4.38,35,8
11,34,25493,Nick Taylor,4.38,35,8
21,17,27644,Brian Harman,4.50,36,8
21,-4,34098,Russell Henley,4.50,36,8
21,-4,39977,Max Homa,4.50,36,8
21,-17,46717,Viktor Hovland,4.50,36,8
21,11,46970,Jon Rahm,4.50,36,8
21,-4,34046,Jordan Spieth,4.50,36,8
27,5,30911,Tommy Fleetwood,4.63,37,8
27,-21,31646,Emiliano Grillo,4.63,37,8
27,-21,28237,Rory McIlroy,4.63,37,8
27,-10,46046,Scottie Scheffler,4.63,37,8
