RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,GIR PUTTS,GREENS HIT,BIRDIE CONVERSION
1,4,48081,Xander Schauffele,1.593,86,54,44.44%
2,40,49960,Sepp Straka,1.608,82,51,38.00%
3,0,46717,Viktor Hovland,1.655,96,58,34.48%
4,9,51766,Wyndham Clark,1.660,88,53,37.74%
5,19,39971,Sungjae Im,1.667,80,48,36.17%
5,23,28237,Rory McIlroy,1.667,80,48,35.42%
5,22,34046,Jordan Spieth,1.667,65,39,38.46%
8,6,27644,Brian Harman,1.682,74,44,31.82%
9,38,49947,Taylor Moore,1.692,66,39,30.77%
10,-2,55182,Tom Kim,1.702,80,47,36.17%
11,13,47504,Sam Burns,1.706,87,51,35.29%
11,5,34098,Russell Henley,1.706,87,51,33.33%
13,11,35450,Patrick Cantlay,1.712,89,52,32.69%
14,17,33141,Keegan Bradley,1.717,79,46,36.96%
15,24,30911,Tommy Fleetwood,1.720,86,50,28.00%
16,16,31646,Emiliano Grillo,1.725,69,40,30.00%
17,15,34363,Tyrrell Hatton,1.729,83,48,35.42%
18,-11,40098,Matt Fitzpatrick,1.733,78,45,31.11%
19,1,32102,Rickie Fowler,1.739,80,46,34.78%
20,-4,25900,Lucas Glover,1.750,84,48,33.33%
20,-16,39977,Max Homa,1.750,84,48,31.25%
20,1,37455,Si Woo Kim,1.750,77,44,30.23%
20,9,50525,Collin Morikawa,1.750,98,56,32.14%
24,20,47347,Adam Schenk,1.759,102,58,29.82%
25,9,39997,Corey Conners,1.780,89,50,30.00%
26,-4,28089,Jason Day,1.784,91,51,27.45%
27,16,25493,Nick Taylor,1.791,77,43,30.23%
28,13,29725,Tony Finau,1.804,92,51,29.41%
29,7,46970,Jon Rahm,1.824,93,51,31.37%
30,-16,46046,Scottie Scheffler,1.868,99,53,26.42%
