RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR OR BETTER,MISSED GIR
1,27,46717,Viktor Hovland,85.71%,12,14
2,9,47504,Sam Burns,76.19%,16,21
3,21,39977,Max Homa,75.00%,18,24
4,-2,46046,Scottie Scheffler,73.68%,14,19
5,8,40098,Matt Fitzpatrick,70.37%,19,27
6,3,50525,Collin Morikawa,68.75%,11,16
7,1,30911,Tommy Fleetwood,68.18%,15,22
8,33,55182,Tom Kim,68.00%,17,25
9,18,34363,Tyrrell Hatton,66.67%,16,24
9,13,48081,Xander Schauffele,66.67%,12,18
11,33,25493,Nick Taylor,65.52%,19,29
12,37,33141,Keegan Bradley,65.38%,17,26
13,13,51766,Wyndham Clark,63.16%,12,19
14,19,25900,Lucas Glover,62.50%,15,24
15,15,32102,Rickie Fowler,61.54%,16,26
16,-12,27644,Brian Harman,60.71%,17,28
17,0,34046,Jordan Spieth,60.61%,20,33
18,0,35450,Patrick Cantlay,60.00%,12,20
19,-17,28237,Rory McIlroy,58.33%,14,24
20,-8,37455,Si Woo Kim,57.14%,16,28
20,-5,47347,Adam Schenk,57.14%,8,14
22,8,29725,Tony Finau,52.38%,11,21
22,-13,34098,Russell Henley,52.38%,11,21
22,-6,46970,Jon Rahm,52.38%,11,21
25,-5,31646,Emiliano Grillo,50.00%,16,32
26,2,39997,Corey Conners,45.45%,10,22
26,12,49947,Taylor Moore,45.45%,15,33
28,-27,39971,Sungjae Im,41.67%,10,24
29,-11,49960,Sepp Straka,38.10%,8,21
30,13,28089,Jason Day,28.57%,6,21
